Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Portugal,Tourist Arrivals,1968-04-30T00:00:00,300000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-05-31T00:00:00,298000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-06-30T00:00:00,314000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-07-31T00:00:00,448000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-08-31T00:00:00,535000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-09-30T00:00:00,406000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-10-31T00:00:00,279000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-11-30T00:00:00,148000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1968-12-31T00:00:00,137000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-01-31T00:00:00,150000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-02-28T00:00:00,173000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-03-31T00:00:00,235000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-04-30T00:00:00,316000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-05-31T00:00:00,354000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-06-30T00:00:00,363000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
Portugal,Tourist Arrivals,1969-07-31T00:00:00,528000,Monthly,PORTUGALTOUARR,2015-08-21T14:52:00
